Index => 4, Mean => 289.50
Index => 5, Mean => 293.20
Index => 6, Mean => 297.33
Index => 7, Mean => 298.71
Index => 8, Mean => 301.75
Index => 9, Mean => 301.22
Index => 10, Mean => 300.60
Index => 11, Mean => 299.55
Index => 12, Mean => 300.50
Index => 13, Mean => 299.08
Index => 14, Mean => 300.43
Index => 15, Mean => 301.20
Index => 16, Mean => 302.75
Index => 17, Mean => 301.26
Index => 18, Mean => 299.89
Index => 19, Mean => 300.74
Index => 20, Mean => 299.50
Index => 21, Mean => 300.29
Index => 22, Mean => 301.09
Index => 23, Mean => 300.48
Index => 24, Mean => 301.25
Index => 25, Mean => 300.52
Index => 26, Mean => 300.54
Index => 27, Mean => 300.74
Index => 28, Mean => 301.07
Index => 29, Mean => 301.16
Index => 30, Mean => 301.03
Index => 31, Mean => 300.85
Index => 32, Mean => 301.00
Index => 33, Mean => 318.97
Index => 34, Mean => 300.88
Index => 35, Mean => 300.77
Index => 36, Mean => 300.78
Index => 37, Mean => 300.95
Index => 38, Mean => 300.79
Index => 39, Mean => 300.51
Index => 40, Mean => 300.80
Index => 41, Mean => 300.37
Index => 42, Mean => 300.33
Index => 43, Mean => 299.85
Index => 44, Mean => 300.00
Index => 45, Mean => 299.44
Index => 46, Mean => 299.57
Index => 47, Mean => 299.86
Index => 48, Mean => 300.46
Index => 49, Mean => 300.26
Index => 50, Mean => 300.46
Index => 51, Mean => 300.18
Index => 52, Mean => 300.65
Index => 53, Mean => 300.62
Index => 54, Mean => 300.46
Index => 55, Mean => 300.46
Index => 56, Mean => 300.50
Index => 57, Mean => 300.56
Index => 58, Mean => 300.62
Index => 59, Mean => 300.51
Index => 60, Mean => 300.53
Index => 61, Mean => 300.27
Index => 62, Mean => 300.02
Index => 63, Mean => 299.73
Index => 64, Mean => 299.88
Index => 65, Mean => 299.77
Index => 66, Mean => 299.73
Index => 67, Mean => 299.72
Index => 68, Mean => 299.53
Index => 69, Mean => 299.24
Index => 70, Mean => 299.01
Index => 71, Mean => 299.05
Index => 72, Mean => 298.78
Index => 73, Mean => 298.80
Index => 74, Mean => 298.95
Index => 75, Mean => 298.83
Index => 76, Mean => 299.03
Index => 77, Mean => 299.12
Index => 78, Mean => 298.97
Index => 79, Mean => 298.79
Index => 80, Mean => 298.93
Index => 81, Mean => 298.75
Index => 82, Mean => 298.52
Index => 83, Mean => 298.53
Index => 84, Mean => 298.60
Index => 85, Mean => 298.33
Index => 86, Mean => 298.28
Index => 87, Mean => 298.36
Index => 88, Mean => 298.48
Index => 89, Mean => 298.61
Index => 90, Mean => 298.42
Index => 91, Mean => 298.31
Index => 92, Mean => 298.52
Index => 93, Mean => 298.47
Index => 94, Mean => 298.62
Index => 95, Mean => 298.43
Index => 96, Mean => 298.69
Index => 97, Mean => 298.48
Index => 98, Mean => 298.45
Index => 99, Mean => 298.27
Index => 100, Mean => 298.52
Index => 101, Mean => 298.61
Index => 102, Mean => 298.73
Index => 103, Mean => 298.78
Index => 104, Mean => 298.90
Index => 105, Mean => 298.88
Index => 106, Mean => 299.06
Index => 107, Mean => 298.93
Index => 108, Mean => 299.20
Index => 109, Mean => 299.01
Index => 110, Mean => 298.83
Index => 111, Mean => 298.79
Index => 112, Mean => 299.05
Index => 113, Mean => 299.08
Index => 114, Mean => 299.04
Index => 115, Mean => 298.97
Index => 116, Mean => 299.03
Index => 117, Mean => 299.07
Index => 118, Mean => 298.98
Index => 119, Mean => 298.91
Index => 120, Mean => 298.93
Index => 121, Mean => 298.88
Index => 122, Mean => 298.84
Index => 123, Mean => 298.76
Index => 124, Mean => 298.73
Index => 125, Mean => 298.64
Index => 126, Mean => 298.61
Index => 127, Mean => 298.52
Index => 128, Mean => 298.50
Index => 129, Mean => 298.35
Index => 130, Mean => 298.25
Index => 131, Mean => 298.33
Index => 132, Mean => 298.56
Index => 133, Mean => 298.45
Index => 134, Mean => 298.30
Index => 135, Mean => 298.30
Index => 136, Mean => 298.34
Index => 137, Mean => 298.24
Index => 138, Mean => 298.26
Index => 139, Mean => 298.12
Index => 140, Mean => 298.19
Index => 141, Mean => 298.23
Index => 142, Mean => 298.21
Index => 143, Mean => 298.17
Index => 144, Mean => 298.24
Index => 145, Mean => 302.32
Index => 146, Mean => 298.29
Index => 147, Mean => 298.39
Index => 148, Mean => 298.50
Index => 149, Mean => 298.46
Index => 150, Mean => 298.59
Index => 151, Mean => 298.53
Index => 152, Mean => 298.67
Index => 153, Mean => 298.61
Index => 154, Mean => 298.68
Index => 155, Mean => 298.60
Index => 156, Mean => 298.76
Index => 157, Mean => 298.78
Index => 158, Mean => 298.73
Index => 159, Mean => 298.63
Index => 160, Mean => 298.74
Index => 161, Mean => 298.70
Index => 162, Mean => 298.67
Index => 163, Mean => 298.67
Index => 164, Mean => 298.72
Index => 165, Mean => 298.65
Index => 166, Mean => 298.54
Index => 167, Mean => 298.51
Index => 168, Mean => 298.58
Index => 169, Mean => 298.49
Index => 170, Mean => 298.48
Index => 171, Mean => 298.39
Index => 172, Mean => 298.38
Index => 173, Mean => 301.64
Index => 174, Mean => 298.35
Index => 175, Mean => 298.44
Index => 176, Mean => 298.56
Index => 177, Mean => 298.48
Index => 178, Mean => 298.43
Index => 179, Mean => 298.53
Index => 180, Mean => 298.46
Index => 181, Mean => 298.54
Index => 182, Mean => 298.63
Index => 183, Mean => 298.57
Index => 184, Mean => 298.66
Index => 185, Mean => 298.62
Index => 186, Mean => 298.61
Index => 187, Mean => 298.59
Index => 188, Mean => 298.65
Index => 189, Mean => 298.60
Index => 190, Mean => 298.51
Index => 191, Mean => 298.55
Index => 192, Mean => 298.59
Index => 193, Mean => 298.49
Index => 194, Mean => 298.41
Index => 195, Mean => 298.33
Index => 196, Mean => 298.37
Index => 197, Mean => 298.35
Index => 198, Mean => 298.38
Index => 199, Mean => 298.28
Index => 200, Mean => 298.35
Index => 201, Mean => 298.40
Index => 202, Mean => 298.43
Index => 203, Mean => 298.44
Index => 204, Mean => 298.49
Index => 205, Mean => 298.50
Index => 206, Mean => 298.50
Index => 207, Mean => 298.48
Index => 208, Mean => 298.53
Index => 209, Mean => 298.52
Index => 210, Mean => 298.52
Index => 211, Mean => 298.51
Index => 212, Mean => 298.52
Index => 213, Mean => 301.31
Index => 214, Mean => 298.56
Index => 215, Mean => 298.58
Index => 216, Mean => 298.64
Index => 217, Mean => 298.67
Index => 218, Mean => 298.67
Index => 219, Mean => 298.67
Index => 220, Mean => 298.71
Index => 221, Mean => 298.78
Index => 222, Mean => 298.86
Index => 223, Mean => 298.84
Index => 224, Mean => 298.92
Index => 225, Mean => 298.89
Index => 226, Mean => 298.85
Index => 227, Mean => 298.77
Index => 228, Mean => 298.89
Index => 229, Mean => 298.79
Index => 230, Mean => 298.82
Index => 231, Mean => 298.87
Index => 232, Mean => 298.92
Index => 233, Mean => 298.93
Index => 234, Mean => 299.00
Index => 235, Mean => 298.98
Index => 236, Mean => 299.08
Index => 237, Mean => 299.07
Index => 238, Mean => 299.05
Index => 239, Mean => 299.07
Index => 240, Mean => 299.12
Index => 241, Mean => 299.17
Index => 242, Mean => 299.14
Index => 243, Mean => 299.10
Index => 244, Mean => 299.16
Index => 245, Mean => 299.11
Index => 246, Mean => 299.06
Index => 247, Mean => 299.04
Index => 248, Mean => 299.05
Index => 249, Mean => 299.00
Index => 250, Mean => 299.00
Index => 251, Mean => 298.98
Index => 252, Mean => 298.98
Index => 253, Mean => 298.94
Index => 254, Mean => 298.93
Index => 255, Mean => 298.93
Index => 256, Mean => 298.94
Index => 257, Mean => 298.91
Index => 258, Mean => 298.94
Index => 259, Mean => 298.91
Index => 260, Mean => 298.95
Index => 261, Mean => 299.01
Index => 262, Mean => 299.06
Index => 263, Mean => 299.05
Index => 264, Mean => 299.11
Index => 265, Mean => 299.16
Index => 266, Mean => 299.21
Index => 267, Mean => 299.18
Index => 268, Mean => 299.24
Index => 269, Mean => 299.22
Index => 270, Mean => 299.19
Index => 271, Mean => 299.25
Index => 272, Mean => 299.20
Index => 273, Mean => 299.24
Index => 274, Mean => 299.21
Index => 275, Mean => 299.27
Index => 276, Mean => 299.22
Index => 277, Mean => 299.26
Index => 278, Mean => 299.33
Index => 279, Mean => 299.38
Index => 280, Mean => 299.46
Index => 281, Mean => 299.50
Index => 282, Mean => 299.49
Index => 283, Mean => 299.55
Index => 284, Mean => 299.51
Index => 285, Mean => 299.54
Index => 286, Mean => 299.60
Index => 287, Mean => 299.63
Index => 288, Mean => 299.62
Index => 289, Mean => 299.63
Index => 290, Mean => 299.62
Index => 291, Mean => 299.68
Index => 292, Mean => 299.76
Index => 293, Mean => 299.74
Index => 294, Mean => 299.77
Index => 295, Mean => 299.74
Index => 296, Mean => 299.82
Index => 297, Mean => 299.74
Index => 298, Mean => 299.71
Index => 299, Mean => 299.65
Index => 300, Mean => 299.72
Index => 301, Mean => 299.66
Index => 302, Mean => 299.61
Index => 303, Mean => 299.61
Index => 304, Mean => 299.66
Index => 305, Mean => 299.64
Index => 306, Mean => 299.58
Index => 307, Mean => 299.65
Index => 308, Mean => 299.73
Index => 309, Mean => 299.70
Index => 310, Mean => 299.74
Index => 311, Mean => 299.71
Index => 312, Mean => 299.78
Index => 313, Mean => 299.73
Index => 314, Mean => 299.79
Index => 315, Mean => 299.87
Index => 316, Mean => 299.97
Index => 317, Mean => 299.91
Index => 318, Mean => 299.93
Index => 319, Mean => 299.96
Index => 320, Mean => 300.07
Index => 321, Mean => 300.13
Index => 322, Mean => 300.16
Index => 323, Mean => 300.22
Index => 324, Mean => 300.23
Index => 325, Mean => 300.27
Index => 326, Mean => 300.27
Index => 327, Mean => 300.24
Index => 328, Mean => 300.31
Index => 329, Mean => 300.34
Index => 330, Mean => 300.37
Index => 331, Mean => 300.36
Index => 332, Mean => 300.40
Index => 333, Mean => 300.39
Index => 334, Mean => 300.44
Index => 335, Mean => 300.50
Index => 336, Mean => 300.57
Index => 337, Mean => 300.55
Index => 338, Mean => 300.58
Index => 339, Mean => 300.56
Index => 340, Mean => 300.62
Index => 341, Mean => 300.65
Index => 342, Mean => 300.64
Index => 343, Mean => 300.63
Index => 344, Mean => 300.66
Index => 345, Mean => 300.66
Index => 346, Mean => 300.69
Index => 347, Mean => 300.71
Index => 348, Mean => 300.76
Index => 349, Mean => 300.81
Index => 350, Mean => 300.80
Index => 351, Mean => 300.78
Index => 352, Mean => 300.84
Index => 353, Mean => 300.85
Index => 354, Mean => 300.88
Index => 355, Mean => 300.91
Index => 356, Mean => 300.94
Index => 357, Mean => 300.94
Index => 358, Mean => 300.99
Index => 359, Mean => 301.04
Index => 360, Mean => 301.03
Index => 361, Mean => 301.01
Index => 362, Mean => 301.04
Index => 363, Mean => 301.03
Index => 364, Mean => 301.09
Index => 365, Mean => 301.08
Index => 366, Mean => 301.13
Index => 367, Mean => 301.11
Index => 368, Mean => 301.17
Index => 369, Mean => 301.14
Index => 370, Mean => 301.12
Index => 371, Mean => 301.08
Index => 372, Mean => 301.15
Index => 373, Mean => 301.12
Index => 374, Mean => 301.18
Index => 375, Mean => 301.14
Index => 376, Mean => 301.22
Index => 377, Mean => 301.22
Index => 378, Mean => 301.24
Index => 379, Mean => 301.27
Index => 380, Mean => 301.33
Index => 381, Mean => 301.31
Index => 382, Mean => 301.28
Index => 383, Mean => 301.27
Index => 384, Mean => 301.30
Index => 385, Mean => 302.83
Index => 386, Mean => 301.27
Index => 387, Mean => 301.25
Index => 388, Mean => 301.24
Index => 389, Mean => 301.23
Index => 390, Mean => 301.27
Index => 391, Mean => 301.31
Index => 392, Mean => 301.38
Index => 393, Mean => 301.40
Index => 394, Mean => 301.43
Index => 395, Mean => 301.44
Index => 396, Mean => 301.47
Index => 397, Mean => 301.48
Index => 398, Mean => 301.49
Index => 399, Mean => 301.51
Index => 400, Mean => 301.55
Index => 401, Mean => 301.55
Index => 402, Mean => 301.51
Index => 403, Mean => 301.46
Index => 404, Mean => 301.50
Index => 405, Mean => 302.89
Index => 406, Mean => 301.44
Index => 407, Mean => 301.42
Index => 408, Mean => 301.40
Index => 409, Mean => 301.37
Index => 410, Mean => 301.35
Index => 411, Mean => 301.34
Index => 412, Mean => 301.33
Index => 413, Mean => 301.30
Index => 414, Mean => 301.29
Index => 415, Mean => 301.31
Index => 416, Mean => 301.39
Index => 417, Mean => 301.34
Index => 418, Mean => 301.36
Index => 419, Mean => 301.36
Index => 420, Mean => 301.43
Index => 421, Mean => 302.88
Index => 422, Mean => 301.46
Index => 423, Mean => 301.45
Index => 424, Mean => 301.50
Index => 425, Mean => 301.48
Index => 426, Mean => 301.46
Index => 427, Mean => 301.47
Index => 428, Mean => 301.49
Index => 429, Mean => 301.50
Index => 430, Mean => 301.52
Index => 431, Mean => 301.51
Index => 432, Mean => 301.53
Index => 433, Mean => 301.53
Index => 434, Mean => 301.57
Index => 435, Mean => 301.63
Index => 436, Mean => 301.70
Index => 437, Mean => 301.67
Index => 438, Mean => 301.73
Index => 439, Mean => 301.70
Index => 440, Mean => 301.77
Index => 441, Mean => 301.74
Index => 442, Mean => 301.70
Index => 443, Mean => 301.67
Index => 444, Mean => 301.73
Index => 445, Mean => 301.72
Index => 446, Mean => 301.72
Index => 447, Mean => 301.72
Index => 448, Mean => 301.75
Index => 449, Mean => 301.72
Index => 450, Mean => 301.75
Index => 451, Mean => 301.78
Index => 452, Mean => 301.75
Index => 453, Mean => 301.77
Index => 454, Mean => 301.76
Index => 455, Mean => 301.80
Index => 456, Mean => 301.77
Index => 457, Mean => 301.75
Index => 458, Mean => 301.74
Index => 459, Mean => 301.73
Index => 460, Mean => 301.73
Index => 461, Mean => 301.75
Index => 462, Mean => 301.73
Index => 463, Mean => 301.75
Index => 464, Mean => 301.79
Index => 465, Mean => 301.81
Index => 466, Mean => 301.79
Index => 467, Mean => 301.76
Index => 468, Mean => 301.80
Index => 469, Mean => 301.81
Index => 470, Mean => 301.85
Index => 471, Mean => 301.82
Index => 472, Mean => 301.87
Index => 473, Mean => 301.88
Index => 474, Mean => 301.85
Index => 475, Mean => 301.91
Index => 476, Mean => 301.87
Index => 477, Mean => 301.90
Index => 478, Mean => 301.94
Index => 479, Mean => 301.94
Index => 480, Mean => 301.94
Index => 481, Mean => 301.88
Index => 482, Mean => 301.85
Index => 483, Mean => 301.86
Index => 484, Mean => 301.90
Index => 485, Mean => 303.15
Index => 486, Mean => 301.88
Index => 487, Mean => 301.90
Index => 488, Mean => 301.92
Index => 489, Mean => 301.91
Index => 490, Mean => 301.92
Index => 491, Mean => 301.90
Index => 492, Mean => 301.93
Index => 493, Mean => 301.95
Index => 494, Mean => 301.97
Index => 495, Mean => 301.99
Index => 496, Mean => 302.00
Index => 497, Mean => 302.00
Index => 498, Mean => 301.98
Index => 499, Mean => 301.95
Index => 500, Mean => 301.98
Index => 501, Mean => 301.96
Index => 502, Mean => 301.95
Index => 503, Mean => 301.95
Index => 504, Mean => 301.96
Index => 505, Mean => 301.95
Index => 506, Mean => 301.93
Index => 507, Mean => 301.91
Index => 508, Mean => 301.92
Index => 509, Mean => 301.90
Index => 510, Mean => 301.88
Index => 511, Mean => 301.88
